Offer                                         Publisher    Sku                           Urn                                                                                          Version
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202104150                             18.04.202104150
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202105080                             18.04.202105080
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202106090                             18.04.202106090
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202106220                             18.04.202106220
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202107160                             18.04.202107160
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202107200                             18.04.202107200
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202108020                             18.04.202108020
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202108170                             18.04.202108170
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202108250                             18.04.202108250
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202109180                             18.04.202109180
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202109280                             18.04.202109280
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202110120                             18.04.202110120
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202110210                             18.04.202110210
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202111030                             18.04.202111030
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202111080                             18.04.202111080
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202111220                             18.04.202111220
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202112060                             18.04.202112060
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202112080                             18.04.202112080
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202201110                             18.04.202201110
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202201170                             18.04.202201170
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202201180                             18.04.202201180
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202203020                             18.04.202203020
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202105080                        18.04.202105080
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202106090                        18.04.202106090
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202106220                        18.04.202106220
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202107160                        18.04.202107160
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202107200                        18.04.202107200
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202108020                        18.04.202108020
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202108170                        18.04.202108170
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202108250                        18.04.202108250
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202109180                        18.04.202109180
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202109280                        18.04.202109280
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202110120                        18.04.202110120
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202110210                        18.04.202110210
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202111030                        18.04.202111030
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202111080                        18.04.202111080
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202111220                        18.04.202111220
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202112060                        18.04.202112060
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202112080                        18.04.202112080
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202201110                        18.04.202201110
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202201170                        18.04.202201170
