ResourceType      Locations    Name                       Zones    Restrictions
virtualMachines   westeurope   Standard_D32as_v5          1,3      None
virtualMachines   westeurope   Standard_D32a_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32ds_v4          1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32ds_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32d_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32d_v5           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32s_v3           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32s_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32s_v5           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32_v3            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32_v4            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D32_v5            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D3_v2             1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D3_v2_Promo       1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D4                1,2      ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48ads_v5         1,3      None
virtualMachines   westeurope   Standard_D48as_v4          1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48as_v5          1,3      None
virtualMachines   westeurope   Standard_D48a_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48ds_v4          1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48ds_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48d_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48d_v5           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48s_v3           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48s_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48s_v5           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48_v3            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48_v4            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D48_v5            1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
virtualMachines   westeurope   Standard_D4ads_v5          1,3      None
virtualMachines   westeurope   Standard_D4as_v4           1,2,3    ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
